   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
   2: notes = 110000000000, scaleid = B01, rotationid = 0, modeid = B001, inverse = B011, scalename = 1B
   3: notes = 100000000001, scaleid = B01, rotationid = 1, modeid = B011, inverse = B001, scalename = B1
   4: notes = 101000000000, scaleid = B02, rotationid = 0, modeid = B002, inverse = B010, scalename = 2A
   5: notes = 100000000010, scaleid = B02, rotationid = 1, modeid = B010, inverse = B002, scalename = A2
   6: notes = 100100000000, scaleid = B03, rotationid = 0, modeid = B003, inverse = B009, scalename = 39
   7: notes = 100000000100, scaleid = B03, rotationid = 1, modeid = B009, inverse = B003, scalename = 93
   8: notes = 100010000000, scaleid = B04, rotationid = 0, modeid = B004, inverse = B008, scalename = 48
   9: notes = 100000001000, scaleid = B04, rotationid = 1, modeid = B008, inverse = B004, scalename = 84
  10: notes = 100001000000, scaleid = B05, rotationid = 0, modeid = B005, inverse = B007, scalename = 57
  11: notes = 100000010000, scaleid = B05, rotationid = 1, modeid = B007, inverse = B005, scalename = 75
  12: notes = 100000100000, scaleid = B06, rotationid = 0, modeid = B006, inverse = B006, scalename = 66
  13: notes = 111000000000, scaleid = C01, rotationid = 0, modeid = C001, inverse = C055, scalename = 11A
  14: notes = 110000000001, scaleid = C01, rotationid = 1, modeid = C010, inverse = C010, scalename = 1A1
  15: notes = 100000000011, scaleid = C01, rotationid = 2, modeid = C055, inverse = C001, scalename = A11
  16: notes = 110100000000, scaleid = C02, rotationid = 0, modeid = C002, inverse = C054, scalename = 129
  17: notes = 101000000001, scaleid = C02, rotationid = 1, modeid = C019, inverse = C009, scalename = 291
  18: notes = 100000000110, scaleid = C02, rotationid = 2, modeid = C053, inverse = C011, scalename = 912
  19: notes = 110010000000, scaleid = C03, rotationid = 0, modeid = C003, inverse = C052, scalename = 138
  20: notes = 100100000001, scaleid = C03, rotationid = 1, modeid = C027, inverse = C008, scalename = 381
  21: notes = 100000001100, scaleid = C03, rotationid = 2, modeid = C050, inverse = C020, scalename = 813
  22: notes = 110001000000, scaleid = C04, rotationid = 0, modeid = C004, inverse = C049, scalename = 147
  23: notes = 100010000001, scaleid = C04, rotationid = 1, modeid = C034, inverse = C007, scalename = 471
  24: notes = 100000011000, scaleid = C04, rotationid = 2, modeid = C046, inverse = C028, scalename = 714
  25: notes = 110000100000, scaleid = C05, rotationid = 0, modeid = C005, inverse = C045, scalename = 156
  26: notes = 100001000001, scaleid = C05, rotationid = 1, modeid = C040, inverse = C006, scalename = 561
  27: notes = 100000110000, scaleid = C05, rotationid = 2, modeid = C041, inverse = C035, scalename = 615
  28: notes = 110000010000, scaleid = C06, rotationid = 0, modeid = C006, inverse = C040, scalename = 165
  29: notes = 100000100001, scaleid = C06, rotationid = 1, modeid = C045, inverse = C005, scalename = 651
  30: notes = 100001100000, scaleid = C06, rotationid = 2, modeid = C035, inverse = C041, scalename = 516
